id,user_id,transaction_detail,total_coins,coins,created_at,updated_at,category
182,73,"You have earned 30 coins for sharing an update on LinkedIn.",310,30,"2022-01-09 21:39:15","2022-01-09 21:39:15",li
183,75,"You have earned 20 coins for sharing an update on LinkedIn.",535,20,"2022-01-09 21:39:28","2022-01-09 21:39:28",li
184,59,"You have earned 20 coins for sharing an update on LinkedIn.",85,20,"2022-01-09 23:30:12","2022-01-09 23:30:12",li
185,31,"You have earned 15 coins for sharing an update on LinkedIn.",25,15,"2022-01-10 18:07:17","2022-01-10 18:07:17",li
186,32,"You have earned 20 coins for sharing an update on LinkedIn.",870,20,"2022-01-10 18:47:08","2022-01-10 18:47:08",li
187,75,"You have earned 20 coins for sharing an update on LinkedIn.",555,20,"2022-01-10 21:52:39","2022-01-10 21:52:39",li
188,97," Hey Friend, good you got 10 coins for the Linkedin Profile",10,10,"2022-01-10 22:13:22","2022-01-10 22:13:22",te
189,97,"Good progress friend, you got 25 coins for completing a roadmap in your career.",35,25,"2022-01-10 22:13:42","2022-01-10 22:13:42",rm
190,98,"Good progress friend, you got 25 coins for completing a roadmap in your career.",85,25,"2022-01-10 22:13:54","2022-01-10 22:13:54",rm
191,97," Hey Friend, good you got 20 coins for the Git Hub Profile",55,20,"2022-01-11 23:45:50","2022-01-11 23:45:50",te
193,40,"Coins removed for the late submission of Design your app idea using Figma task",-10,-10,"2022-01-12 03:00:06","2022-01-12 03:00:06",ptd
194,52,"Coins removed for the late submission of Design your app idea using Figma task",0,-10,"2022-01-12 03:00:07","2022-01-12 03:00:07",ptd
195,64,"Coins removed for the late submission of Design your app idea using Figma task",200,-10,"2022-01-12 03:00:10","2022-01-12 03:00:10",ptd
196,86,"Coins removed for the late submission of Add Css Transistion and Animation to existing Projects task",20,-50,"2022-01-12 03:00:12","2022-01-12 03:00:12",ptd
197,86,"Coins removed for the late submission of Web API's task",10,-10,"2022-01-12 03:00:12","2022-01-12 03:00:12",ptd
198,89,"Coins removed for the late submission of Youtube contact us page task",85,-50,"2022-01-12 03:00:12","2022-01-12 03:00:12",ptd
199,89,"Coins removed for the late submission of Git Hub Profile task",35,-50,"2022-01-12 03:00:12","2022-01-12 03:00:12",ptd
200,89,"Coins removed for the late submission of YouTube How it works page task",25,-10,"2022-01-12 03:00:12","2022-01-12 03:00:12",ptd
201,91,"Coins removed for the late submission of YouTube How it works page task",170,-10,"2022-01-12 03:00:12","2022-01-12 03:00:12",ptd
202,92,"Coins removed for the late submission of YouTube How it works page task",180,-10,"2022-01-12 03:00:12","2022-01-12 03:00:12",ptd
203,93,"Coins removed for the late submission of YouTube How it works page task",180,-10,"2022-01-12 03:00:13","2022-01-12 03:00:13",ptd
204,97,"Coins removed for the late submission of Youtube contact us page task",5,-50,"2022-01-12 03:00:13","2022-01-12 03:00:13",ptd
205,97,"Coins removed for the late submission of YouTube How it works page task",-5,-10,"2022-01-12 03:00:13","2022-01-12 03:00:13",ptd
206,99,"Coins removed for the late submission of Add Css Transistion and Animation to existing Projects task",-50,-50,"2022-01-12 03:00:14","2022-01-12 03:00:14",ptd
207,99,"Coins removed for the late submission of Web API's task",-60,-10,"2022-01-12 03:00:14","2022-01-12 03:00:14",ptd
208,88,"You have earned 15 coins for sharing an update on LinkedIn.",85,15,"2022-01-12 08:37:45","2022-01-12 08:37:45",li
209,100,"You have earned 15 coins for sharing an update on LinkedIn.",15,15,"2022-01-12 14:11:20","2022-01-12 14:11:20",li
210,100,"You have earned 15 coins for sharing an update on LinkedIn.",30,15,"2022-01-12 14:11:32","2022-01-12 14:11:32",li
211,100,"You have earned 20 coins for sharing an update on LinkedIn.",50,20,"2022-01-12 14:11:47","2022-01-12 14:11:47",li
212,73,"You have earned 20 coins for sharing an update on LinkedIn.",330,20,"2022-01-12 17:44:17","2022-01-12 17:44:17",li
213,88,"You have earned 25 coins for sharing an update on Twitter.",110,25,"2022-01-12 21:21:00","2022-01-12 21:21:00",tw
214,90," Hey Friend, good you got 50 coins for the Youtube contact us page",240,50,"2022-01-12 21:32:20","2022-01-12 21:32:20",te
215,90," Hey Friend, good you got 50 coins for the YouTube How it works page",290,50,"2022-01-12 21:33:17","2022-01-12 21:33:17",te
216,91," Hey Friend, good you got 50 coins for the Youtube contact us page",220,50,"2022-01-12 21:37:10","2022-01-12 21:37:10",te
217,91," Hey Friend, good you got 50 coins for the YouTube How it works page",270,50,"2022-01-12 21:38:22","2022-01-12 21:38:22",te
218,92," Hey Friend, good you got 50 coins for the Youtube contact us page",230,50,"2022-01-12 21:40:55","2022-01-12 21:40:55",te
